@relation ADMFIN1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
38,0,0,0,37,34,0,1,1,0,0,0,3,2,2,14,3,3,0,13,3,10,2,APROVADO
5,0,0,0,5,13,0,0,0,0,0,0,0,0,2,1,1,1,0,2,1,3,1,APROVADO
103,0,0,0,0,213,0,1,1,0,0,0,6,11,23,12,3,3,0,18,3,22,17,APROVADO
9,0,0,0,0,16,0,1,1,0,0,0,4,6,0,0,0,0,0,0,0,0,0,REPROVADO
30,0,0,0,0,51,0,1,1,0,0,0,4,1,2,13,3,4,0,16,3,13,5,APROVADO
20,0,1,0,1,60,0,0,0,0,0,0,0,0,0,15,3,3,0,14,2,8,0,APROVADO
36,0,0,0,17,120,0,1,1,0,0,0,11,10,31,12,3,3,0,15,3,7,11,APROVADO
35,0,0,0,0,77,0,1,1,0,0,0,2,4,13,37,3,3,0,15,3,18,6,APROVADO
42,0,0,0,3,88,0,2,3,0,0,0,8,7,1,22,3,3,0,15,2,8,8,APROVADO
22,0,0,0,2,18,0,2,3,0,0,0,8,11,0,1,1,1,0,10,1,2,4,REPROVADO
19,0,0,0,1,27,0,1,1,0,0,0,2,1,0,18,1,2,0,7,1,2,1,APROVADO
14,0,0,0,10,10,0,0,0,0,0,0,0,0,1,18,3,3,0,11,4,1,0,APROVADO
14,0,0,0,7,15,0,1,1,0,0,0,2,1,0,14,3,3,0,7,3,4,3,APROVADO
21,0,0,0,16,6,0,1,1,0,0,0,2,1,1,18,3,3,0,14,3,0,0,APROVADO
34,0,0,0,22,13,0,0,0,0,0,0,0,0,0,12,3,3,0,18,2,10,4,APROVADO
22,0,0,0,5,33,0,1,1,0,0,0,4,2,4,14,3,3,0,18,3,8,5,APROVADO
29,0,0,0,16,19,0,1,1,0,0,0,3,4,0,47,3,3,0,12,3,7,0,APROVADO
28,0,0,0,18,27,0,0,0,0,0,0,0,0,1,15,3,3,0,13,3,10,8,APROVADO
38,0,0,0,17,36,0,0,0,0,0,0,0,0,6,27,3,3,0,15,3,15,5,APROVADO
79,0,0,0,51,42,0,1,1,0,0,0,11,11,1,12,3,3,0,37,3,5,0,APROVADO
34,0,0,0,51,25,0,1,1,0,0,0,4,3,2,22,3,3,0,24,3,15,4,APROVADO
30,0,0,0,41,21,0,1,1,0,0,0,2,2,4,13,3,3,0,15,3,5,2,APROVADO
23,0,0,0,11,25,0,1,1,0,0,0,6,3,0,13,3,4,0,18,3,11,5,APROVADO
14,0,0,0,23,9,0,1,1,0,0,0,3,2,0,12,3,3,0,7,3,1,1,APROVADO
5,0,0,0,5,2,0,0,0,0,0,0,0,0,0,4,2,2,0,6,1,3,2,APROVADO
84,0,0,0,55,85,0,1,1,0,0,0,9,6,2,17,3,3,0,12,3,17,8,APROVADO
34,0,0,0,20,10,0,0,0,0,0,0,0,0,2,15,3,3,0,15,3,0,0,APROVADO
17,0,0,0,16,13,0,1,1,0,0,0,6,4,1,12,3,3,0,10,3,10,6,APROVADO
76,0,0,0,48,40,0,1,1,0,0,0,6,3,14,32,4,4,0,26,4,11,5,APROVADO
46,0,0,0,40,25,0,0,0,0,0,0,0,0,3,16,3,3,0,27,3,7,1,APROVADO
44,0,0,0,17,44,0,1,1,0,0,0,11,7,2,24,3,3,0,23,3,25,7,APROVADO
66,0,0,0,0,116,0,1,1,0,0,0,4,3,1,16,3,3,0,18,4,8,4,APROVADO
2,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,REPROVADO
56,0,0,0,0,129,0,1,1,0,0,0,8,3,2,13,3,3,0,15,3,11,2,APROVADO
46,0,0,0,19,23,0,1,1,0,0,0,7,1,3,13,4,4,0,18,4,0,1,APROVADO
29,0,0,0,17,36,0,1,2,0,0,0,4,1,1,13,3,3,0,10,4,9,1,APROVADO
30,0,0,0,6,20,0,0,0,0,0,0,0,0,0,12,3,3,0,11,3,6,0,APROVADO
27,0,0,0,2,37,0,0,0,0,0,0,8,6,0,1,1,1,0,8,0,1,2,REPROVADO
