@relation CONTA1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
40,0,0,0,28,161,0,1,1,0,0,0,6,10,14,0,0,0,0,0,0,43,17,APROVADO
25,0,0,0,6,72,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,16,7,APROVADO
29,0,1,0,5,59,0,1,1,0,0,0,8,9,3,0,0,0,0,0,0,20,2,APROVADO
54,0,3,0,8,170,0,1,1,1,0,0,6,10,34,0,0,0,0,0,0,65,6,APROVADO
36,0,0,0,4,138,0,1,1,0,0,0,4,4,4,0,0,0,0,0,0,25,8,APROVADO
17,0,0,0,22,42,0,1,1,0,0,0,7,17,12,0,0,0,0,0,0,20,3,APROVADO
31,0,0,0,8,81,0,1,1,0,0,0,4,2,15,0,0,0,0,0,0,30,13,APROVADO
39,0,0,0,9,67,0,1,1,0,0,0,7,6,7,0,0,0,0,0,0,34,13,APROVADO
28,0,1,0,0,122,0,1,1,1,0,0,6,10,13,0,0,0,0,0,0,43,11,APROVADO
57,0,0,0,21,113,0,1,1,3,0,0,1,16,9,0,0,0,0,0,0,48,13,APROVADO
63,0,0,0,19,113,0,1,1,0,0,0,6,7,24,0,0,0,0,0,0,21,13,APROVADO
51,0,0,0,8,106,0,1,1,0,0,0,5,9,10,0,0,0,0,0,0,21,9,APROVADO
32,0,0,0,9,49,0,1,2,0,0,0,7,6,9,0,0,0,0,0,0,13,10,APROVADO
15,0,0,0,2,67,0,1,1,0,0,0,3,4,8,0,0,0,0,0,0,33,5,APROVADO
17,0,0,0,3,80,0,1,1,0,0,0,3,6,1,0,0,0,0,0,0,14,12,APROVADO
35,0,0,0,33,310,0,1,1,0,0,0,9,23,15,0,0,0,0,0,0,17,9,APROVADO
20,0,0,0,4,90,0,1,1,0,0,0,3,13,6,0,0,0,0,0,0,28,6,APROVADO
35,0,3,0,16,91,0,1,1,0,0,0,8,9,7,0,0,0,0,0,0,14,7,APROVADO
28,0,1,0,26,134,0,1,2,0,0,0,9,15,16,0,0,0,0,0,0,35,5,APROVADO
22,0,2,0,6,62,0,1,1,0,0,0,2,5,11,0,0,0,0,0,0,2,3,APROVADO
44,0,0,0,23,49,0,2,2,0,0,0,10,9,33,0,0,0,0,0,0,20,5,APROVADO
13,0,0,0,1,39,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,22,4,APROVADO
44,0,0,0,14,158,0,1,1,0,0,0,3,6,26,0,0,0,0,0,0,30,7,APROVADO
24,0,0,0,10,56,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,APROVADO
23,0,0,0,17,105,0,1,1,0,0,0,5,4,5,0,0,0,0,0,0,23,12,APROVADO
62,0,6,0,9,342,0,2,2,1,0,0,5,31,13,0,0,0,0,0,0,80,22,APROVADO
13,0,0,0,6,105,0,0,0,0,0,0,4,7,12,0,0,0,0,0,0,7,3,APROVADO
13,0,0,0,4,31,0,1,1,0,0,0,3,2,8,0,0,0,0,0,0,7,0,APROVADO
63,0,0,0,86,121,0,1,2,2,0,0,7,11,18,0,0,0,0,0,0,34,11,APROVADO
1,0,0,0,0,20,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,3,0,APROVADO
37,0,0,0,35,44,0,1,1,0,0,0,3,4,6,0,0,0,0,0,0,18,1,APROVADO
0,0,0,0,0,2,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,REPROVADO
14,0,2,0,5,27,0,1,1,0,0,0,4,3,5,0,0,0,0,0,0,1,0,REPROVADO
5,0,0,0,0,52,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,13,2,APROVADO
96,0,0,0,166,76,0,1,1,0,0,0,2,6,5,0,0,0,0,0,0,36,22,APROVADO
69,0,0,0,1,90,0,1,1,0,0,0,11,11,11,0,0,0,0,0,0,28,5,APROVADO
29,0,0,0,0,40,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,9,7,REPROVADO
35,0,0,0,5,110,0,1,1,1,0,0,0,5,18,0,0,0,0,0,0,16,2,APROVADO
1,0,0,0,0,7,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,REPROVADO
0,0,0,0,0,8,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,4,0,REPROVADO
8,0,0,0,1,10,0,1,1,0,0,0,3,3,2,0,0,0,0,0,0,2,0,REPROVADO
13,0,1,0,0,37,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,APROVADO
38,0,0,0,0,108,0,1,1,0,0,0,4,6,18,0,0,0,0,0,0,10,5,APROVADO
