@relation CONTAGUB-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
18,0,0,0,5,17,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,5,0,APROVADO
9,0,0,0,4,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,1,APROVADO
8,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,APROVADO
16,0,0,0,1,41,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,APROVADO
15,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,APROVADO
21,0,2,0,20,11,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,APROVADO
21,0,0,0,7,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,12,APROVADO
12,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,APROVADO
9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,APROVADO
5,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,APROVADO
11,0,0,0,4,29,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,APROVADO
6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
17,0,0,0,5,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,APROVADO
25,0,0,0,6,39,0,1,1,0,0,0,0,3,13,0,0,0,0,0,0,10,1,APROVADO
27,0,1,0,7,43,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,11,0,APROVADO
20,0,0,0,14,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,APROVADO
22,0,0,0,18,13,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,2,APROVADO
17,0,0,0,19,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,APROVADO
10,0,0,0,3,12,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,APROVADO
10,0,0,0,9,19,0,1,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,APROVADO
15,0,0,0,20,18,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,APROVADO
17,0,0,0,22,21,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,2,APROVADO
2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
13,0,0,0,3,9,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,3,4,APROVADO
32,0,1,0,5,55,0,1,1,0,0,0,4,4,1,0,0,0,0,0,0,6,15,APROVADO
23,0,0,0,21,40,0,1,1,0,0,0,5,3,3,0,0,0,0,0,0,5,7,APROVADO
0,0,0,0,1,8,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0,5,4,APROVADO
23,0,3,0,6,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,APROVADO
17,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,APROVADO
14,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,APROVADO
16,0,0,0,12,16,0,1,1,0,0,0,2,3,2,0,0,0,0,0,0,2,0,APROVADO
19,0,0,0,33,44,0,1,1,0,0,0,4,3,6,0,0,0,0,0,0,15,12,APROVADO
18,0,0,0,18,17,0,1,1,0,0,0,2,2,3,0,0,0,0,0,0,5,6,APROVADO
8,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,APROVADO
24,0,0,0,20,81,0,1,1,0,0,0,3,3,5,0,0,0,0,0,0,42,15,APROVADO
11,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,APROVADO
18,0,0,0,4,18,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,26,0,APROVADO
27,0,0,0,26,19,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,APROVADO
14,0,0,0,2,28,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,9,3,APROVADO
45,0,0,0,29,70,0,1,1,0,0,0,4,1,14,0,0,0,0,0,0,6,3,APROVADO
55,0,0,0,49,49,0,1,1,0,0,0,5,3,12,0,0,0,0,0,0,9,5,APROVADO
89,0,0,0,0,130,0,1,1,0,0,0,2,2,6,0,0,0,0,0,0,7,1,APROVADO
16,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,APROVADO
26,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,APROVADO
52,0,0,0,15,33,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,6,APROVADO
40,0,0,0,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,APROVADO
40,0,0,0,14,34,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,9,1,APROVADO
50,0,0,0,15,53,0,1,1,0,0,0,7,7,1,0,0,0,0,0,0,15,1,APROVADO
20,0,0,0,0,35,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,4,1,APROVADO
24,0,0,0,0,57,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,APROVADO
49,0,0,0,7,93,0,1,1,0,0,0,3,3,4,0,0,0,0,0,0,20,12,APROVADO
16,0,0,0,15,9,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,APROVADO
80,0,1,0,0,124,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,14,1,APROVADO
49,0,0,0,28,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,10,APROVADO
55,0,0,0,26,65,0,1,1,0,0,0,6,8,5,0,0,0,0,0,0,39,26,APROVADO
31,0,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,APROVADO
41,0,0,0,0,32,0,1,1,0,0,0,4,3,1,0,0,0,0,0,0,4,0,APROVADO
50,0,0,0,36,63,0,1,1,0,0,0,8,6,7,0,0,0,0,0,0,13,0,APROVADO
8,0,0,0,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,APROVADO
45,0,0,0,17,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,APROVADO
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
17,0,3,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,APROVADO
42,0,0,0,22,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,APROVADO
37,0,0,0,2,41,0,1,1,0,0,0,7,3,1,0,0,0,0,0,0,5,10,APROVADO
30,0,0,0,5,37,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,10,8,APROVADO
65,0,0,0,43,45,0,0,0,0,0,0,1,2,12,0,0,0,0,0,0,6,3,APROVADO
