@relation CONTASOC-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
35,0,1,0,23,47,20,1,1,0,0,0,6,7,0,0,0,0,0,0,0,3,0,APROVADO
0,0,0,0,0,2,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,REPROVADO
24,0,0,0,12,67,22,1,1,0,0,0,3,1,12,0,0,0,0,0,0,7,0,APROVADO
13,0,0,0,15,47,18,1,1,0,0,0,2,1,6,0,0,0,0,0,0,3,0,APROVADO
8,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,REPROVADO
17,0,0,0,3,17,4,1,1,0,0,0,2,1,4,0,0,0,0,0,0,3,0,REPROVADO
20,0,0,0,1,51,5,1,1,0,0,0,3,3,9,0,0,0,0,0,0,2,0,APROVADO
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
35,0,0,0,35,53,9,1,1,0,0,0,3,2,26,0,0,0,0,0,0,3,0,APROVADO
37,0,0,0,38,57,6,1,1,0,0,0,4,3,23,0,0,0,0,0,0,2,0,APROVADO
21,0,0,0,40,77,49,1,1,0,0,0,4,5,16,0,0,0,0,0,0,9,0,APROVADO
25,0,0,0,25,79,21,1,1,0,0,0,3,5,11,0,0,0,0,0,0,1,0,APROVADO
4,0,0,0,0,17,1,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,APROVADO
37,0,0,0,48,57,9,1,1,0,0,0,13,13,8,0,0,0,0,0,0,3,0,APROVADO
68,0,0,0,49,129,48,1,1,0,0,0,7,10,15,0,0,0,0,0,0,6,0,APROVADO
9,0,0,0,11,38,10,1,2,0,0,0,6,3,3,0,0,0,0,0,0,7,0,APROVADO
58,0,0,0,88,58,28,1,1,0,0,0,4,4,2,0,0,0,0,0,0,2,0,APROVADO
20,0,0,0,60,37,10,1,1,0,0,0,8,5,3,0,0,0,0,0,0,8,0,APROVADO
16,0,1,0,29,34,14,1,1,0,0,0,3,3,10,0,0,0,0,0,0,2,0,APROVADO
16,0,0,0,4,50,7,1,1,0,0,0,5,5,1,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
39,0,0,0,10,73,5,2,2,0,0,0,6,7,21,0,0,0,0,0,0,3,0,APROVADO
46,0,0,0,15,55,3,2,1,0,0,0,6,12,9,0,0,0,0,0,0,0,0,APROVADO
56,0,0,0,15,22,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,APROVADO
46,0,0,0,4,98,18,2,1,0,0,1,3,2,22,0,0,0,0,0,0,14,0,APROVADO
45,0,0,0,11,86,24,1,1,0,0,0,3,4,3,0,0,0,0,0,0,13,0,APROVADO
13,0,1,0,22,19,1,1,1,0,0,0,2,5,3,0,0,0,0,0,0,0,0,APROVADO
34,0,0,0,20,51,14,1,1,0,0,0,7,20,11,0,0,0,0,0,0,2,0,APROVADO
23,0,0,0,1,73,16,1,1,0,0,0,2,4,12,0,0,0,0,0,0,4,0,APROVADO
5,0,0,0,1,22,1,1,1,0,0,0,9,9,1,0,0,0,0,0,0,2,0,REPROVADO
62,0,0,0,0,114,7,3,3,0,0,0,7,12,9,0,0,0,0,0,0,2,0,APROVADO
40,0,1,0,23,36,7,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,APROVADO
34,0,0,0,12,52,8,1,1,0,0,0,4,6,1,0,0,0,0,0,0,2,0,APROVADO
4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
14,0,0,0,6,26,11,1,1,0,0,0,3,4,3,0,0,0,0,0,0,0,0,APROVADO
33,0,0,0,21,7,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,APROVADO
38,0,0,0,6,122,22,1,1,0,0,0,7,12,14,0,0,0,0,0,0,1,0,APROVADO
5,0,0,0,5,13,9,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,APROVADO
70,0,0,0,25,38,16,1,1,0,0,0,3,6,1,0,0,0,0,0,0,0,0,APROVADO
17,0,0,0,16,25,1,1,1,0,0,0,4,5,2,0,0,0,0,0,0,0,0,APROVADO
