@relation CONTASUP1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
22,0,0,0,45,61,0,1,1,0,0,0,7,13,15,0,0,0,0,0,0,12,4,APROVADO
2,0,4,0,1,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,REPROVADO
9,0,3,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,APROVADO
3,0,0,0,4,30,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,12,3,APROVADO
13,0,0,0,0,40,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,3,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
18,0,0,0,19,19,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,APROVADO
1,0,0,0,0,8,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,APROVADO
1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,REPROVADO
60,0,0,0,56,54,0,1,1,0,0,0,3,2,7,0,0,0,0,0,0,6,2,APROVADO
17,0,0,0,18,22,0,1,1,0,0,0,4,6,5,0,0,0,0,0,0,15,0,APROVADO
0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,APROVADO
36,0,0,0,67,58,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,1,APROVADO
35,0,0,0,55,34,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,3,APROVADO
22,0,0,0,54,34,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,APROVADO
6,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
36,0,0,0,11,44,0,1,2,0,0,0,5,5,35,0,0,0,0,0,0,9,11,APROVADO
18,0,0,0,34,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,APROVADO
28,0,0,0,36,58,0,1,1,0,0,0,3,9,15,0,0,0,0,0,0,8,2,APROVADO
25,0,0,0,16,65,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,1,REPROVADO
27,0,0,0,17,39,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,2,14,APROVADO
0,0,0,0,0,4,0,1,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,APROVADO
9,0,0,0,13,15,0,1,2,0,0,0,6,1,0,0,0,0,0,0,0,1,4,APROVADO
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,REPROVADO
34,0,0,0,23,78,0,3,1,0,0,1,9,11,54,0,0,0,0,0,0,28,9,APROVADO
30,0,0,0,4,35,0,3,1,0,0,2,9,4,8,0,0,0,0,0,0,6,0,APROVADO
23,0,0,0,17,58,0,5,2,0,0,3,9,13,13,0,0,0,0,0,0,10,4,APROVADO
33,0,0,0,68,48,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,1,APROVADO
5,0,0,0,3,4,0,2,1,0,1,1,12,10,0,0,0,0,0,0,0,0,0,REPROVADO
2,0,1,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
26,0,0,0,19,48,0,1,1,0,0,0,0,2,16,0,0,0,0,0,0,14,7,APROVADO
13,0,0,0,8,23,0,2,2,0,0,0,13,6,6,0,0,0,0,0,0,2,0,APROVADO
26,0,0,0,23,57,0,2,2,0,0,0,6,6,32,0,0,0,0,0,0,6,3,REPROVADO
29,0,0,0,15,36,0,1,1,0,0,0,0,6,3,0,0,0,0,0,0,7,0,APROVADO
3,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
21,0,0,0,12,41,0,2,2,0,0,0,5,5,7,0,0,0,0,0,0,1,0,APROVADO
31,0,0,0,51,27,0,1,1,0,0,0,5,3,9,0,0,0,0,0,0,6,3,APROVADO
12,0,0,0,40,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,APROVADO
15,0,0,0,26,40,0,1,1,0,0,0,4,8,5,0,0,0,0,0,0,8,8,REPROVADO
14,0,0,0,17,34,0,1,1,0,0,0,3,4,12,0,0,0,0,0,0,6,2,APROVADO
31,0,0,0,103,43,0,1,1,0,0,0,2,15,19,0,0,0,0,0,0,14,0,APROVADO
12,0,0,0,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,APROVADO
22,0,0,0,49,23,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,5,3,APROVADO
9,0,0,0,19,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,12,APROVADO
25,0,0,0,83,38,0,1,1,0,0,0,1,10,2,0,0,0,0,0,0,8,1,APROVADO
20,0,0,0,17,21,0,2,2,0,0,0,3,5,2,0,0,0,0,0,0,5,0,APROVADO
