@relation DERCON-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
24,0,0,0,2,63,0,1,2,0,0,0,3,4,1,3,3,3,0,9,3,0,8,APROVADO
15,0,0,0,36,36,0,1,2,0,0,0,8,10,0,3,3,3,0,12,3,1,0,APROVADO
34,0,0,0,0,38,0,0,1,0,0,0,2,5,1,4,4,4,0,18,4,2,32,APROVADO
35,0,0,0,0,154,0,1,2,0,0,0,3,7,3,4,4,4,0,23,4,12,45,APROVADO
14,0,0,0,5,21,0,1,2,0,0,0,3,7,0,1,1,1,0,5,1,0,2,APROVADO
70,0,0,0,17,79,0,1,1,0,0,0,3,2,0,4,4,4,0,10,4,0,0,APROVADO
7,0,0,0,6,27,0,1,1,0,0,0,2,1,2,3,3,3,0,6,3,0,8,APROVADO
18,0,0,0,13,11,1,0,1,0,0,0,0,3,0,6,4,4,0,14,6,0,0,APROVADO
40,0,0,0,3,121,0,1,2,0,0,0,2,6,1,4,4,4,0,17,4,0,10,APROVADO
24,0,0,0,8,20,0,1,2,0,0,0,2,3,0,3,3,3,0,12,3,4,0,APROVADO
44,0,0,0,29,50,0,1,1,0,0,0,7,10,0,5,4,4,0,9,4,0,4,APROVADO
72,0,0,0,34,100,0,1,1,0,0,0,2,1,3,4,4,4,0,10,4,0,21,APROVADO
78,0,0,0,0,119,0,1,3,0,0,0,3,7,0,2,2,2,0,5,2,1,11,APROVADO
5,0,0,0,0,8,0,1,2,0,0,0,2,5,0,4,2,2,0,9,3,0,0,APROVADO
38,0,0,0,42,20,0,0,2,0,0,0,0,6,0,4,4,4,0,9,4,0,0,APROVADO
16,0,0,0,8,45,0,1,1,0,0,0,3,3,3,4,3,3,0,16,4,1,12,APROVADO
1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,2,2,0,6,3,1,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
31,0,0,0,24,27,0,1,5,0,0,0,4,10,0,5,4,4,0,11,4,0,5,APROVADO
38,0,16,0,4,89,0,2,1,0,0,1,8,6,0,5,4,4,0,16,5,15,21,APROVADO
12,0,1,0,4,43,5,0,2,0,1,0,3,5,1,2,1,1,0,5,2,2,17,APROVADO
28,0,0,0,18,33,0,0,0,0,0,0,1,0,0,5,3,3,0,15,5,0,13,APROVADO
2,0,0,0,0,11,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,REPROVADO
52,0,0,0,0,114,0,2,2,0,0,1,3,7,7,4,4,4,0,26,3,13,11,APROVADO
49,0,1,0,20,49,0,0,0,0,0,0,0,0,4,3,3,3,0,23,3,0,1,APROVADO
60,0,0,0,29,46,0,0,1,0,0,0,0,2,4,5,4,4,0,18,5,0,22,APROVADO
72,0,0,0,9,158,0,1,1,0,0,0,2,1,1,4,4,4,0,15,4,7,29,APROVADO
6,0,1,0,0,24,0,2,1,0,0,0,2,2,0,4,4,4,0,12,4,0,12,APROVADO
23,0,0,0,2,40,0,0,0,0,0,0,0,0,2,5,4,4,0,9,5,5,10,APROVADO
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,APROVADO
27,0,0,0,11,37,3,1,2,0,0,0,7,11,0,6,4,4,0,12,4,2,16,APROVADO
96,0,1,0,2,175,1,0,1,0,0,0,1,14,1,6,4,4,0,18,4,0,22,APROVADO
24,0,0,0,16,39,0,0,0,0,0,0,0,2,7,4,3,3,0,12,3,1,13,APROVADO
