@relation DIRPER1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
37,0,0,0,13,41,0,1,1,0,0,0,5,5,0,0,0,0,0,0,0,23,0,APROVADO
1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,REPROVADO
39,0,0,0,7,62,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,30,0,APROVADO
10,0,0,0,3,12,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,APROVADO
57,0,0,0,8,9,0,1,1,0,0,0,2,4,1,0,0,0,0,0,0,2,0,APROVADO
14,0,0,0,0,22,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,11,0,APROVADO
2,0,0,0,0,10,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,REPROVADO
21,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,APROVADO
12,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,APROVADO
47,0,0,0,22,12,0,1,1,0,0,0,3,3,2,0,0,0,0,0,0,5,0,APROVADO
24,0,0,0,24,19,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,20,0,APROVADO
41,0,0,0,21,72,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,48,0,APROVADO
35,0,0,0,21,59,0,1,1,0,0,0,3,4,0,0,0,0,0,0,0,45,0,APROVADO
22,0,0,0,21,52,0,1,2,0,0,0,6,3,0,0,0,0,0,0,0,27,0,APROVADO
23,0,0,0,31,43,0,1,1,0,0,0,4,5,0,0,0,0,0,0,0,21,0,APROVADO
84,0,0,0,60,78,0,1,2,0,0,0,6,5,0,0,0,0,0,0,0,37,0,APROVADO
5,0,0,0,3,16,0,1,1,0,0,0,4,5,0,0,0,0,0,0,0,8,0,APROVADO
69,0,0,0,75,45,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,38,0,APROVADO
19,0,0,0,37,18,0,1,1,0,0,0,4,4,0,0,0,0,0,0,0,18,0,APROVADO
31,0,3,0,18,33,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,13,0,APROVADO
28,0,0,0,6,40,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,46,0,APROVADO
9,0,1,0,1,10,0,1,1,0,0,0,4,6,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
46,0,0,0,12,16,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,APROVADO
51,0,0,0,0,55,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,6,0,APROVADO
6,0,0,0,4,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,APROVADO
21,0,2,0,13,15,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,APROVADO
34,0,0,0,5,22,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,14,0,APROVADO
26,0,1,0,1,44,0,1,1,0,0,0,4,5,1,0,0,0,0,0,0,13,0,APROVADO
16,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,APROVADO
33,0,0,0,8,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,APROVADO
10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
28,0,0,0,12,5,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,APROVADO
22,0,0,0,8,39,0,1,1,0,0,0,2,5,0,0,0,0,0,0,0,20,0,APROVADO
9,0,0,0,2,6,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,7,0,APROVADO
27,0,0,0,5,14,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,APROVADO
101,0,0,0,41,69,0,1,1,3,1,0,5,23,1,0,0,0,0,0,0,14,0,APROVADO
44,0,0,0,9,66,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,APROVADO
31,0,0,0,21,20,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,21,0,APROVADO
17,0,0,0,9,4,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,APROVADO
16,0,0,0,15,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,APROVADO
14,0,0,0,8,21,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,6,0,APROVADO
40,0,0,0,16,36,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,APROVADO
19,0,0,0,18,18,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,8,0,APROVADO
11,0,0,0,16,15,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,10,0,APROVADO
40,0,0,0,27,16,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,15,0,APROVADO
16,0,0,0,6,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,APROVADO
8,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,APROVADO
24,0,0,0,4,22,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,APROVADO
31,0,0,0,11,20,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,5,0,APROVADO
30,0,0,0,23,121,0,0,1,2,2,0,6,17,0,0,0,0,0,0,0,44,0,APROVADO
14,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,APROVADO
26,0,0,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
38,0,0,0,0,60,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,25,0,APROVADO
28,0,0,0,13,30,0,1,1,1,0,0,0,9,0,0,0,0,0,0,0,23,0,APROVADO
37,0,0,0,16,49,0,2,2,0,0,0,7,4,0,9,2,2,3,7,2,8,0,APROVADO
12,0,0,0,6,12,0,2,2,0,0,0,4,2,0,6,2,2,5,3,2,2,0,APROVADO
37,0,0,0,23,22,0,0,0,0,0,0,0,3,0,10,2,2,2,7,2,8,0,APROVADO
12,0,0,0,9,3,0,0,0,0,0,0,0,1,0,6,2,2,2,5,2,3,0,APROVADO
29,0,0,0,14,33,0,0,0,0,0,0,0,0,1,22,2,2,2,14,2,10,0,APROVADO
22,0,0,0,11,18,0,1,1,0,0,0,2,1,0,14,3,3,3,4,3,2,0,APROVADO
45,0,0,0,12,46,0,1,1,0,0,0,3,3,2,11,2,2,2,13,2,8,0,APROVADO
29,0,0,0,3,21,0,1,1,0,0,0,2,1,0,3,1,1,1,5,1,2,0,APROVADO
88,0,0,0,29,78,0,2,2,0,0,0,6,4,0,17,3,3,4,11,5,30,0,APROVADO
7,0,0,0,6,9,0,1,1,0,0,0,2,1,0,16,1,1,1,2,1,4,0,APROVADO
16,0,0,0,6,11,0,1,1,0,0,0,2,1,0,9,3,3,3,4,3,1,0,APROVADO
63,0,0,0,12,16,0,1,1,0,0,0,2,1,0,9,3,3,3,17,3,1,0,APROVADO
29,0,0,0,27,20,0,1,1,0,0,0,2,2,1,14,2,2,2,8,3,3,0,APROVADO
40,0,0,0,26,21,0,0,0,0,0,0,0,0,0,17,2,2,2,5,2,4,0,APROVADO
13,0,0,0,8,13,0,1,1,0,0,0,2,1,0,3,1,1,2,1,1,2,0,APROVADO
55,0,0,0,11,63,0,2,2,0,0,0,6,4,0,11,3,3,7,12,3,15,0,APROVADO
38,0,0,0,15,15,0,0,0,0,0,0,0,0,0,12,3,3,3,14,3,7,0,APROVADO
35,0,0,0,16,26,0,1,1,0,0,0,2,1,0,18,3,3,6,5,4,7,0,APROVADO
14,0,0,0,2,10,0,1,1,0,0,0,3,1,0,6,2,2,2,6,2,1,0,APROVADO
18,0,0,0,5,13,0,1,1,0,0,0,2,1,0,9,2,2,2,3,3,3,0,APROVADO
19,0,0,0,20,20,0,1,1,0,0,0,2,1,1,10,2,2,4,15,2,2,0,APROVADO
14,0,0,0,5,9,0,1,1,0,0,0,2,1,0,6,1,1,1,1,1,3,0,APROVADO
11,0,0,0,6,5,0,1,1,0,0,0,2,1,0,3,1,1,2,4,1,0,0,APROVADO
1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,REPROVADO
19,0,0,0,10,17,0,1,1,0,0,0,2,1,0,6,2,2,2,5,2,9,0,APROVADO
49,0,0,0,30,81,0,1,2,0,0,0,10,4,0,24,3,3,3,11,5,19,0,APROVADO
61,0,0,0,38,107,0,1,1,0,0,0,2,2,0,13,2,3,3,18,2,11,0,APROVADO
43,0,0,0,13,68,0,2,3,0,0,0,26,11,1,23,3,3,6,30,6,34,0,APROVADO
39,0,0,0,14,22,0,1,1,0,0,0,2,1,0,13,3,3,3,22,3,2,0,APROVADO
84,0,0,0,25,53,0,1,1,0,0,0,2,1,0,14,3,3,4,15,2,43,0,APROVADO
73,0,0,0,60,53,0,1,1,0,0,0,7,7,1,0,0,0,0,0,0,38,0,APROVADO
46,0,0,0,13,21,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,28,0,APROVADO
16,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,APROVADO
10,0,0,0,5,6,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,1,0,APROVADO
30,0,0,0,27,40,0,2,3,0,0,0,6,3,1,0,0,0,0,0,0,21,0,APROVADO
6,0,0,0,1,11,0,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,APROVADO
5,0,0,0,8,11,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,8,0,APROVADO
