@relation ECONO-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
24,0,0,0,3,97,0,0,1,0,1,0,3,8,9,0,0,0,0,0,0,30,0,APROVADO
0,0,0,0,0,7,0,1,1,0,0,0,4,1,4,0,0,0,0,0,0,0,0,REPROVADO
10,0,6,0,6,108,0,1,1,1,0,0,4,13,15,0,0,0,0,0,0,30,0,APROVADO
0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,REPROVADO
10,0,0,0,7,26,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,APROVADO
4,0,0,0,4,25,0,1,1,0,0,0,2,1,9,0,0,0,0,0,0,1,0,APROVADO
45,0,0,0,29,85,0,1,1,0,0,0,3,3,14,0,0,0,0,0,0,18,0,APROVADO
13,0,0,0,5,47,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,23,0,APROVADO
0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,REPROVADO
5,0,0,0,4,27,0,1,1,0,0,0,2,1,13,0,0,0,0,0,0,16,0,APROVADO
43,0,1,0,1,109,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,36,0,APROVADO
7,0,0,0,1,35,0,1,1,0,0,0,5,4,3,0,0,0,0,0,0,5,0,APROVADO
9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,3,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
18,0,0,0,18,62,0,1,1,0,0,0,5,7,1,0,0,0,0,0,0,26,0,APROVADO
2,0,0,0,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,APROVADO
7,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,APROVADO
24,0,0,0,1,111,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,43,0,APROVADO
0,0,0,0,1,2,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,APROVADO
21,0,0,0,31,45,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,16,0,APROVADO
21,0,0,0,44,37,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,12,0,APROVADO
3,0,0,0,7,4,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,12,0,APROVADO
3,0,0,0,12,40,0,2,2,0,0,0,3,12,13,0,0,0,0,0,0,26,0,APROVADO
1,0,0,0,0,19,0,1,1,0,0,0,2,6,5,0,0,0,0,0,0,14,0,APROVADO
29,0,0,0,83,94,0,1,1,0,0,0,3,6,3,0,0,0,0,0,0,34,0,APROVADO
20,0,0,0,25,61,0,1,1,0,0,0,0,5,12,0,0,0,0,0,0,56,0,APROVADO
0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,REPROVADO
17,0,0,0,13,80,0,0,0,0,0,0,4,6,22,0,0,0,0,0,0,40,0,APROVADO
8,0,0,0,4,47,0,2,0,0,0,1,2,2,3,0,0,0,0,0,0,26,0,APROVADO
6,0,0,0,6,16,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,1,0,APROVADO
3,0,0,0,0,32,0,1,1,0,0,0,1,3,3,0,0,0,0,0,0,18,0,APROVADO
32,0,0,0,69,68,0,1,1,0,0,0,0,8,3,0,0,0,0,0,0,120,0,APROVADO
21,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
8,0,0,0,17,22,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,24,0,APROVADO
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
3,0,0,0,10,36,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,34,0,APROVADO
4,0,0,0,2,31,0,1,1,0,0,0,2,4,3,0,0,0,0,0,0,13,0,APROVADO
18,0,0,0,4,43,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,23,0,APROVADO
3,0,0,0,0,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,APROVADO
3,0,0,0,22,12,0,2,2,0,0,0,3,5,2,0,0,0,0,0,0,4,0,APROVADO
31,0,1,0,12,40,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,10,0,APROVADO
2,0,0,0,3,19,0,1,1,0,1,0,2,1,6,0,0,0,0,0,0,4,0,APROVADO
10,0,1,0,5,36,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,47,0,APROVADO
1,0,0,0,9,43,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,39,0,APROVADO
20,0,0,0,16,47,0,1,1,0,0,0,0,3,8,0,0,0,0,0,0,24,0,APROVADO
