@relation ETIPRO-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
8,0,0,0,0,16,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,3,REPROVADO
33,0,2,0,47,49,6,1,1,0,0,0,11,13,21,36,2,2,0,10,1,0,23,APROVADO
32,0,0,0,14,42,1,1,2,0,0,0,4,2,3,34,2,2,0,7,2,0,33,APROVADO
22,0,0,0,6,18,1,0,0,0,0,0,0,0,1,116,2,2,0,6,2,0,31,APROVADO
22,0,3,0,9,43,0,1,1,0,0,0,3,2,2,48,2,3,0,16,2,0,37,APROVADO
23,0,0,0,1,77,1,0,0,0,0,0,3,9,2,35,2,2,0,15,0,0,47,APROVADO
16,0,4,0,13,12,0,1,1,0,0,0,2,1,0,32,2,2,0,14,2,0,0,APROVADO
19,0,0,0,19,28,1,1,1,0,0,0,3,3,11,29,2,2,0,8,2,0,10,APROVADO
44,0,0,0,0,71,0,0,0,0,0,0,0,0,7,28,2,2,0,16,2,0,10,APROVADO
8,0,15,0,3,32,0,1,1,0,0,0,1,3,0,31,2,2,0,6,0,0,4,APROVADO
22,0,0,0,7,35,0,0,0,0,0,0,0,1,0,49,2,2,0,26,2,0,23,APROVADO
9,0,2,0,0,27,0,1,1,0,0,0,2,1,0,30,2,2,0,5,2,0,18,APROVADO
60,0,0,0,0,103,6,1,1,0,0,0,4,4,18,49,2,2,0,9,2,0,32,APROVADO
10,0,0,0,6,23,1,0,0,0,0,0,0,0,4,30,2,2,0,12,1,0,25,APROVADO
12,0,0,0,9,11,0,0,0,0,0,0,0,0,2,43,2,2,0,10,2,0,11,APROVADO
24,0,0,0,2,56,0,1,1,0,0,0,2,2,17,33,2,2,0,6,2,0,24,APROVADO
28,0,0,0,24,21,0,0,0,0,0,0,1,2,3,28,2,2,0,11,2,0,12,APROVADO
53,0,0,0,0,96,0,0,0,0,0,0,0,1,2,38,2,2,0,7,2,0,23,APROVADO
39,0,0,0,9,43,0,0,0,0,0,0,0,0,2,28,2,2,0,14,2,0,16,APROVADO
41,0,0,0,34,75,4,1,1,0,0,0,5,6,30,24,1,1,0,5,3,0,54,APROVADO
26,0,0,0,32,14,0,0,0,0,0,0,0,0,0,36,2,2,0,12,2,0,9,APROVADO
48,0,0,0,0,27,3,1,1,0,0,0,6,10,23,31,2,2,0,7,2,0,34,APROVADO
22,0,12,0,2,41,1,1,1,0,0,0,2,2,11,29,2,2,0,8,2,0,20,APROVADO
46,0,4,0,6,55,2,0,0,0,0,0,0,0,2,55,2,2,0,13,4,0,34,APROVADO
14,0,0,0,16,13,0,0,0,0,0,0,0,0,1,20,1,1,0,3,1,0,7,APROVADO
17,0,0,0,20,14,1,0,0,0,0,0,0,0,6,28,2,2,0,4,2,0,31,APROVADO
53,0,0,0,56,19,2,0,0,0,0,0,3,2,0,57,2,2,0,19,1,0,35,APROVADO
36,0,0,0,39,24,0,1,1,0,0,0,2,3,5,25,2,2,0,12,1,0,18,APROVADO
28,0,0,0,19,13,0,0,0,0,0,0,0,0,0,33,2,2,0,11,3,0,30,APROVADO
21,0,0,0,5,16,0,0,0,0,0,0,0,0,1,31,2,2,0,8,2,0,24,APROVADO
29,0,0,0,14,32,2,0,0,0,0,0,0,2,2,38,2,2,0,13,2,0,42,APROVADO
15,0,0,0,0,13,0,1,1,0,0,0,2,2,0,28,2,2,0,4,2,0,11,APROVADO
46,0,0,0,3,41,0,1,1,0,0,0,0,5,33,63,2,2,0,4,2,0,5,APROVADO
21,0,0,0,13,19,0,1,1,0,0,0,4,4,0,49,2,2,0,7,2,0,0,APROVADO
14,0,0,0,5,25,0,1,1,0,0,0,3,3,0,68,2,2,0,8,2,0,3,APROVADO
27,0,0,0,7,86,1,1,1,0,0,0,4,2,0,46,2,2,0,8,3,0,13,APROVADO
27,0,0,0,7,28,1,1,1,0,0,0,3,3,3,50,2,2,0,7,2,0,13,APROVADO
26,0,0,0,0,51,1,1,1,0,0,0,3,5,0,42,2,2,0,8,2,0,41,APROVADO
21,0,0,0,17,15,0,0,0,0,0,0,0,0,0,52,2,2,0,8,2,0,7,APROVADO
36,0,0,0,6,47,0,0,0,0,0,0,0,0,0,44,2,2,0,4,2,0,1,APROVADO
15,0,0,0,10,7,0,0,0,0,0,0,0,0,0,73,3,3,0,16,2,0,0,APROVADO
14,0,0,0,16,14,0,0,0,0,0,0,3,1,0,155,2,2,0,4,2,0,10,APROVADO
