@relation PERCONT-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
7,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
16,0,0,0,10,16,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,APROVADO
24,0,0,0,30,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,APROVADO
3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
12,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,APROVADO
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
22,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,APROVADO
14,0,0,0,2,45,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,APROVADO
3,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,APROVADO
9,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
24,0,0,0,40,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,APROVADO
28,0,0,0,0,67,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,APROVADO
27,0,0,0,2,55,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,APROVADO
6,0,0,0,13,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,APROVADO
1,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
16,0,0,0,11,31,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,APROVADO
14,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,APROVADO
20,0,1,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
19,0,2,0,5,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,APROVADO
26,0,0,0,0,51,1,1,1,0,0,0,7,2,0,0,0,0,0,0,0,14,16,APROVADO
37,0,10,0,51,63,3,1,1,0,0,0,7,6,10,0,0,0,0,0,0,44,25,APROVADO
15,0,0,0,17,44,0,1,1,0,0,0,2,2,6,0,0,0,0,0,0,13,3,APROVADO
31,0,0,0,0,80,1,1,1,0,0,0,7,12,2,0,0,0,0,0,0,39,14,APROVADO
14,0,3,0,2,35,2,1,1,0,0,0,3,1,4,0,0,0,0,0,0,31,5,APROVADO
69,0,0,0,18,95,1,1,1,0,0,0,7,5,1,0,0,0,0,0,0,55,32,APROVADO
25,0,0,0,19,80,7,1,1,0,0,0,3,1,1,0,0,0,0,0,0,46,19,APROVADO
10,0,0,0,8,21,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,11,7,APROVADO
16,0,0,0,0,56,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,24,7,APROVADO
22,0,0,0,3,76,5,1,1,0,0,0,5,4,2,0,0,0,0,0,0,42,11,APROVADO
13,0,0,0,0,39,2,1,1,0,0,0,3,3,1,0,0,0,0,0,0,8,7,APROVADO
13,0,0,0,0,29,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,5,3,APROVADO
18,0,0,0,16,33,0,1,1,0,0,0,5,3,4,0,0,0,0,0,0,9,3,APROVADO
22,0,1,0,3,12,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,11,1,APROVADO
14,0,0,0,11,14,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,3,1,APROVADO
17,0,0,0,20,34,2,1,1,0,0,0,4,3,0,0,0,0,0,0,0,13,3,APROVADO
21,0,0,0,25,64,4,1,1,0,0,0,9,6,3,0,0,0,0,0,0,32,36,APROVADO
19,0,0,0,18,51,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,25,25,APROVADO
19,0,0,0,0,35,3,1,1,0,0,0,4,3,0,0,0,0,0,0,0,12,3,APROVADO
1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,REPROVADO
9,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,APROVADO
19,0,0,0,9,26,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,9,1,APROVADO
16,0,2,0,14,26,0,1,1,0,0,0,2,3,2,0,0,0,0,0,0,14,3,APROVADO
13,0,0,0,22,22,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,11,6,APROVADO
24,0,0,0,30,62,0,1,1,0,0,0,5,4,5,0,0,0,0,0,0,12,6,APROVADO
32,0,0,0,21,40,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,4,APROVADO
9,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,APROVADO
15,0,1,0,20,35,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,12,15,APROVADO
20,0,0,0,1,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,8,APROVADO
15,0,0,0,0,76,6,1,2,0,0,0,8,5,0,0,0,0,0,0,0,39,19,APROVADO
9,0,0,0,18,32,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,16,APROVADO
4,0,0,0,9,5,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,APROVADO
17,0,0,0,27,43,0,1,1,0,0,0,2,1,11,0,0,0,0,0,0,19,13,APROVADO
13,0,0,0,18,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,APROVADO
29,0,0,0,3,46,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,12,APROVADO
4,0,0,0,6,15,1,1,1,0,0,0,3,2,0,0,0,0,0,0,0,5,0,APROVADO
13,0,0,0,4,63,2,0,0,0,0,0,1,1,6,0,0,0,0,0,0,27,7,APROVADO
16,0,0,0,12,35,0,1,1,0,0,0,2,1,6,0,0,0,0,0,0,12,3,APROVADO
18,0,0,0,10,47,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,23,16,APROVADO
18,0,0,0,22,67,0,1,1,0,0,0,2,2,11,0,0,0,0,0,0,34,16,APROVADO
2,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,APROVADO
18,0,0,0,12,40,1,1,1,0,0,0,3,2,5,0,0,0,0,0,0,20,18,APROVADO
17,0,0,0,10,116,5,1,1,0,0,0,3,1,4,0,0,0,0,0,0,72,28,APROVADO
26,0,0,0,1,128,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,86,31,APROVADO
16,0,0,0,0,91,3,1,1,0,0,0,4,3,4,0,0,0,0,0,0,44,7,APROVADO
21,0,0,0,3,75,4,1,1,0,0,0,2,1,1,0,0,0,0,0,0,30,8,APROVADO
9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,APROVADO
7,0,0,0,20,28,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,36,1,APROVADO
21,0,0,0,0,31,2,1,1,0,0,0,7,5,3,0,0,0,0,0,0,0,0,APROVADO
8,0,0,0,5,12,1,1,1,0,0,0,3,2,0,0,0,0,0,0,0,8,8,APROVADO
11,0,0,0,14,22,2,1,1,0,0,0,2,1,4,0,0,0,0,0,0,25,10,APROVADO
20,0,0,0,24,83,5,1,1,0,0,0,6,6,10,0,0,0,0,0,0,66,32,APROVADO
49,0,0,0,0,49,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,21,16,APROVADO
28,0,0,0,2,84,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,40,8,APROVADO
15,0,0,0,7,16,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,10,0,APROVADO
22,0,0,0,0,78,5,1,1,0,0,0,2,4,9,0,0,0,0,0,0,15,7,APROVADO
60,0,0,0,19,65,0,1,1,0,0,0,3,7,12,0,0,0,0,0,0,16,0,APROVADO
45,0,0,0,1,65,5,1,1,0,0,0,2,1,13,0,0,0,0,0,0,27,0,APROVADO
26,0,0,0,20,33,1,1,1,0,0,0,2,2,5,0,0,0,0,0,0,21,13,APROVADO
19,0,0,0,28,9,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,APROVADO
16,0,0,0,3,12,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,APROVADO
16,0,0,0,1,34,0,1,1,0,0,0,6,7,7,0,0,0,0,0,0,21,11,APROVADO
39,0,0,0,3,66,2,1,1,0,0,0,2,1,10,0,0,0,0,0,0,26,7,APROVADO
19,0,0,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,10,APROVADO
19,0,0,0,11,16,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,APROVADO
24,0,0,0,19,52,2,1,1,0,0,0,3,3,9,0,0,0,0,0,0,19,12,APROVADO
24,0,0,0,20,30,3,1,1,0,0,0,3,3,9,0,0,0,0,0,0,12,10,APROVADO
27,0,0,0,6,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,APROVADO
34,0,0,0,2,41,1,1,1,0,0,0,3,0,21,0,0,0,0,0,0,21,0,APROVADO
25,0,0,0,11,50,0,1,1,0,0,0,3,2,15,0,0,0,0,0,0,11,0,APROVADO
46,0,0,0,14,93,8,1,1,0,0,0,2,1,19,0,0,0,0,0,0,34,9,APROVADO
26,0,0,0,16,40,0,0,0,0,0,0,1,2,21,0,0,0,0,0,0,24,2,APROVADO
26,0,1,0,0,73,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,3,2,APROVADO
12,0,0,0,0,47,0,1,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,APROVADO
28,0,0,0,3,85,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,29,12,APROVADO
33,0,0,0,4,33,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,APROVADO
7,0,0,0,0,20,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,APROVADO
10,0,0,0,5,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,APROVADO
35,0,0,0,25,58,4,1,1,0,0,0,4,5,15,0,0,0,0,0,0,33,13,APROVADO
5,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
24,0,0,0,17,19,0,0,0,0,0,0,1,3,14,0,0,0,0,0,0,3,4,APROVADO
28,0,0,0,0,130,4,0,0,0,0,0,1,1,18,0,0,0,0,0,0,42,28,APROVADO
31,0,0,0,12,86,4,1,1,0,0,0,4,7,31,0,0,0,0,0,0,10,11,APROVADO
15,0,0,0,0,43,0,1,1,0,0,0,5,8,7,0,0,0,0,0,0,6,0,APROVADO
97,0,0,0,36,55,2,1,2,0,0,0,6,5,23,0,0,0,0,0,0,20,0,APROVADO
15,0,0,0,12,33,2,1,1,0,0,0,3,4,5,0,0,0,0,0,0,24,10,APROVADO
22,0,0,0,0,75,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,47,19,APROVADO
