@relation PROEJE-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
8,0,0,0,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,APROVADO
2,0,1,0,0,15,2,1,0,0,0,0,7,5,1,0,0,0,0,0,0,0,1,APROVADO
0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,APROVADO
1,0,0,0,0,34,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,APROVADO
9,0,0,0,0,29,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,APROVADO
2,0,0,0,19,16,0,3,1,0,0,2,11,11,2,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,2,38,7,1,1,0,0,0,0,6,1,0,0,0,0,0,0,34,0,APROVADO
6,0,1,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,APROVADO
18,0,3,0,0,38,2,1,1,0,0,0,0,8,0,0,0,0,0,0,0,4,3,APROVADO
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,REPROVADO
2,0,0,0,34,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,REPROVADO
2,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,REPROVADO
0,0,0,0,1,8,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,APROVADO
7,0,0,0,0,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,APROVADO
16,0,0,0,1,23,1,3,1,0,0,0,1,10,0,0,0,0,0,0,0,3,4,REPROVADO
2,0,0,0,7,8,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,APROVADO
1,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,REPROVADO
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
8,0,0,0,7,39,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,3,REPROVADO
2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
27,0,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
28,0,27,0,0,63,6,3,1,0,1,0,0,4,0,0,0,0,0,0,0,6,2,APROVADO
45,0,7,0,0,93,2,2,2,0,0,0,8,3,0,0,0,0,0,0,0,2,2,APROVADO
4,0,0,0,0,8,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
4,0,0,0,2,6,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,APROVADO
0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REPROVADO
9,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,APROVADO
4,0,3,0,3,18,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
38,0,1,0,0,95,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,APROVADO
0,0,0,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,APROVADO
15,0,4,0,2,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,REPROVADO
6,0,0,0,18,16,0,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,APROVADO
39,0,0,0,0,49,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,APROVADO
16,0,0,0,7,16,2,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,1,APROVADO
9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
41,0,1,0,16,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APROVADO
16,0,0,0,13,20,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,4,1,APROVADO
12,0,4,0,1,14,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,APROVADO
5,0,0,0,2,11,1,2,2,0,0,0,3,4,0,0,0,0,0,0,0,2,0,APROVADO
5,0,0,0,0,21,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,APROVADO
12,0,1,0,4,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,APROVADO
25,0,0,0,6,14,1,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,1,APROVADO
2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
49,0,0,0,38,9,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,1,APROVADO
6,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,REPROVADO
42,0,0,0,6,14,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,9,0,1,1,0,0,0,11,7,0,0,0,0,0,0,0,0,0,REPROVADO
3,0,0,0,0,7,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,APROVADO
59,0,0,0,16,23,0,1,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,APROVADO
18,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
27,0,9,0,5,14,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,APROVADO
86,0,0,0,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
64,0,1,0,2,58,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,2,1,APROVADO
31,0,8,0,0,66,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,APROVADO
10,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APROVADO
1,0,0,0,0,18,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,APROVADO
39,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
