@relation PROINV1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
78,0,0,0,2,123,0,1,1,0,0,0,4,0,0,32,3,4,8,33,3,6,3,APROVADO
24,0,0,0,11,32,0,1,1,0,0,0,2,2,0,3,3,3,3,11,2,1,1,APROVADO
18,0,0,0,1,19,0,1,1,0,0,0,2,1,0,3,3,3,4,8,2,7,6,APROVADO
7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,REPROVADO
1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,REPROVADO
60,0,0,0,1,53,0,0,0,0,0,0,0,0,0,3,3,3,3,13,3,11,2,APROVADO
24,0,0,0,2,37,0,1,1,0,0,0,6,6,3,2,1,1,1,7,1,2,1,REPROVADO
26,0,0,0,6,12,0,1,1,0,0,0,2,2,0,2,2,2,2,8,2,0,0,APROVADO
18,0,0,0,1,54,0,2,2,0,0,0,8,17,1,0,0,0,0,3,0,0,0,REPROVADO
33,0,1,0,11,17,0,1,1,0,0,0,2,2,0,2,2,2,4,15,2,7,3,REPROVADO
25,0,0,0,0,42,0,1,1,0,0,0,3,1,0,1,1,1,1,6,1,0,0,APROVADO
43,0,0,0,14,54,0,3,1,0,0,1,12,8,1,3,3,3,3,19,2,11,8,APROVADO
34,0,0,0,13,27,0,1,1,0,0,0,2,1,0,2,2,2,2,10,2,1,1,REPROVADO
40,0,0,0,8,36,0,1,1,0,0,0,2,1,0,3,2,3,4,18,1,10,8,APROVADO
37,0,0,0,1,29,0,1,1,0,0,0,4,3,0,3,2,2,2,8,3,1,0,APROVADO
64,0,0,0,17,34,0,1,1,0,0,0,4,5,0,3,3,3,4,12,3,2,2,REPROVADO
