@relation TECPRO-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
16,0,2,0,0,30,0,2,2,0,0,0,13,6,5,0,0,0,0,0,0,4,0,REPROVADO
3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,REPROVADO
329,0,111,0,3,350,0,5,5,0,1,1,3,79,137,2,2,2,0,16,1,36,1,REPROVADO
355,0,0,0,4,155,0,6,6,0,0,0,7,48,48,3,3,3,0,20,2,34,10,APROVADO
143,0,0,0,23,228,0,4,6,0,0,0,17,39,19,5,3,3,0,49,4,108,0,APROVADO
238,0,0,0,58,156,0,6,6,0,0,0,10,44,39,4,3,3,0,17,2,33,1,APROVADO
164,0,0,0,18,123,0,4,4,0,0,0,9,34,23,4,3,3,0,12,3,29,2,APROVADO
185,0,0,0,3,141,0,4,4,0,0,0,13,20,28,3,3,3,0,15,0,46,1,APROVADO
287,0,0,0,30,400,0,6,8,0,0,0,7,24,35,3,3,3,0,22,3,88,1,APROVADO
125,0,0,0,19,164,0,6,8,0,0,0,9,40,19,2,2,2,0,13,2,16,0,REPROVADO
221,0,0,0,45,154,0,6,6,0,0,0,14,33,21,3,3,3,0,17,2,16,2,APROVADO
295,0,0,0,27,414,0,6,6,0,0,0,9,36,67,3,3,3,0,12,0,56,0,APROVADO
408,0,0,0,40,142,0,6,6,0,0,0,20,40,58,3,3,3,0,14,1,29,0,APROVADO
219,0,0,0,13,161,0,6,6,0,0,0,16,32,35,3,3,3,0,14,3,49,0,APROVADO
206,0,0,0,15,280,0,6,6,0,0,0,8,42,35,3,3,3,0,17,3,25,0,APROVADO
112,0,0,0,55,130,0,6,6,0,0,0,12,39,22,3,3,3,0,11,1,19,1,APROVADO
152,0,0,0,6,236,0,6,6,0,0,0,8,26,29,3,3,3,0,9,3,26,0,APROVADO
285,0,1,0,57,223,0,6,9,0,0,0,12,55,26,3,3,3,0,9,1,85,1,APROVADO
328,0,0,0,40,356,0,6,6,0,0,0,16,41,50,3,3,3,0,8,3,62,2,APROVADO
329,0,0,0,63,257,0,6,8,0,0,0,16,55,56,3,3,3,0,12,2,57,0,APROVADO
263,0,0,0,62,350,0,6,6,0,0,0,14,48,30,3,3,3,0,20,3,43,0,APROVADO
331,0,0,0,36,399,0,6,6,0,0,0,18,66,54,3,3,3,0,16,3,52,1,APROVADO
256,0,0,0,20,106,0,5,5,0,0,0,7,22,12,3,3,3,0,9,3,13,0,REPROVADO
102,0,0,0,17,118,0,5,5,0,0,0,21,44,19,3,3,3,0,7,3,35,1,APROVADO
68,0,0,0,5,70,0,3,3,0,0,0,8,11,15,0,0,0,0,3,0,11,1,REPROVADO
284,0,3,0,97,320,0,6,6,0,0,0,40,68,46,4,3,3,0,11,4,127,0,APROVADO
525,0,1,0,95,502,0,6,9,0,0,0,38,82,57,4,3,4,0,21,2,30,1,APROVADO
248,0,0,0,54,312,0,6,6,0,0,0,10,37,34,5,3,4,0,9,4,47,0,APROVADO
94,0,0,0,48,138,0,6,6,0,0,0,6,27,21,3,3,3,0,122,2,38,1,APROVADO
247,0,0,0,33,109,0,6,7,0,0,0,14,33,19,3,3,3,0,15,3,31,0,APROVADO
