@relation TECSEG-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
50,0,0,0,0,69,0,0,0,0,0,0,0,3,24,6,2,2,1,43,2,11,3,REPROVADO
75,0,0,0,30,113,0,1,1,0,0,0,5,7,23,4,2,2,2,13,3,7,4,APROVADO
74,0,0,0,33,69,0,0,0,0,0,0,0,0,43,7,3,3,1,59,3,14,5,REPROVADO
65,0,0,0,11,52,0,0,0,0,0,0,1,1,7,5,2,2,1,18,2,14,0,REPROVADO
35,0,0,0,15,106,0,1,1,0,0,0,3,8,40,5,2,2,1,19,2,12,6,APROVADO
51,0,0,0,0,50,0,1,1,0,0,0,3,2,31,14,3,3,1,13,5,21,8,APROVADO
37,0,0,0,8,21,0,1,1,0,0,0,5,5,2,1,1,1,0,8,1,1,0,REPROVADO
9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,REPROVADO
13,0,0,0,0,8,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,3,0,REPROVADO
155,0,1,0,0,244,0,1,1,0,0,0,6,7,73,8,4,4,1,22,3,23,12,APROVADO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
90,0,0,0,19,122,0,1,1,0,0,0,4,9,39,8,4,4,1,33,3,14,5,APROVADO
73,0,20,0,14,266,0,1,1,0,0,0,11,7,57,6,4,4,1,21,3,60,16,APROVADO
90,0,3,0,1,142,0,1,1,0,0,0,5,11,48,8,3,3,2,17,2,43,12,APROVADO
63,0,32,0,16,309,0,1,1,0,0,0,9,11,105,11,3,3,1,16,3,30,5,APROVADO
65,0,4,0,3,79,0,1,1,0,0,0,8,2,29,10,2,3,3,13,2,9,1,APROVADO
28,0,0,0,13,42,0,1,1,0,0,0,5,3,6,4,3,3,2,14,1,5,2,REPROVADO
59,0,0,0,2,46,0,0,0,0,0,0,1,1,4,11,4,4,1,12,4,8,0,APROVADO
80,0,0,0,1,91,0,1,1,0,0,0,11,9,25,11,3,3,3,26,7,34,7,APROVADO
103,0,0,0,6,157,0,1,1,0,0,0,5,3,5,6,3,3,1,15,3,20,2,APROVADO
70,0,4,0,0,68,0,1,1,0,0,0,4,3,19,6,3,3,2,23,4,31,6,APROVADO
46,0,0,0,12,67,0,1,1,0,0,0,4,9,20,7,4,4,2,19,4,5,2,APROVADO
66,0,2,0,0,87,0,1,1,0,0,0,9,9,25,9,3,3,3,21,2,40,12,APROVADO
151,0,0,0,5,92,0,1,1,0,0,0,4,1,55,7,3,3,1,10,3,28,16,APROVADO
60,0,0,0,0,55,0,1,1,0,0,0,4,4,7,5,3,3,1,11,3,12,1,APROVADO
0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,3,0,REPROVADO
43,0,0,0,2,81,0,0,0,0,0,0,0,1,22,12,5,5,0,36,4,28,7,APROVADO
75,0,0,0,69,123,0,1,1,0,0,0,4,4,31,9,4,4,5,26,4,16,7,APROVADO
16,0,0,0,2,66,0,1,1,0,0,0,11,3,27,21,3,3,2,26,7,22,10,APROVADO
0,0,0,0,0,7,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,4,1,APROVADO
24,0,0,0,9,69,0,1,1,0,0,0,4,0,20,5,3,3,1,11,3,13,5,APROVADO
20,0,0,0,7,73,0,1,1,0,0,0,4,4,27,15,4,4,1,8,4,24,11,APROVADO
15,0,0,0,12,85,0,1,1,0,0,0,4,3,30,21,3,3,1,27,7,31,8,APROVADO
36,0,0,0,4,75,0,1,1,0,0,0,8,3,30,13,4,4,3,19,3,43,14,APROVADO
36,0,13,0,26,188,0,1,1,0,0,0,17,13,61,4,2,2,3,31,1,31,17,APROVADO
11,0,0,0,13,68,0,1,1,0,0,0,13,13,22,5,2,2,1,12,2,21,7,APROVADO
2,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,REPROVADO
4,0,0,0,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,REPROVADO
23,0,3,0,11,100,0,1,1,0,0,0,5,5,32,13,3,3,1,14,3,35,10,APROVADO
8,0,0,0,0,31,0,1,1,0,0,0,2,1,8,3,3,3,0,16,1,1,0,REPROVADO
29,0,0,0,33,65,0,0,0,0,0,0,3,3,24,6,3,3,3,30,1,6,1,APROVADO
33,0,0,0,0,51,0,2,2,0,0,0,11,4,48,12,2,2,2,25,1,5,2,APROVADO
5,0,0,0,0,43,0,2,3,0,0,0,14,11,20,1,1,1,0,9,1,2,1,REPROVADO
0,0,0,0,0,20,0,2,2,0,0,0,14,10,3,0,0,0,0,0,0,1,2,REPROVADO
35,0,0,0,0,491,0,1,1,0,0,0,8,4,88,7,3,3,1,17,4,52,35,APROVADO
4,0,0,0,2,41,0,1,1,0,0,0,4,0,14,0,0,0,0,2,0,7,5,REPROVADO
6,0,0,0,1,6,0,2,2,0,0,0,7,3,0,3,2,2,2,7,2,1,0,REPROVADO
22,0,0,0,9,49,0,1,1,0,0,0,7,5,9,7,3,3,1,14,3,24,5,APROVADO
23,0,0,0,10,70,0,0,0,0,0,0,0,0,34,13,3,3,1,10,3,13,2,APROVADO
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,1,3,0,1,1,0,0,0,5,2,1,0,0,0,0,2,0,0,2,REPROVADO
53,0,1,0,20,103,0,0,0,0,0,0,2,0,29,11,3,3,2,34,3,27,0,APROVADO
15,0,0,0,2,57,0,0,0,0,0,0,0,0,36,7,2,2,2,11,3,5,1,APROVADO
