@relation TOMDES1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
48,0,0,0,0,50,0,1,1,0,0,0,3,3,2,0,0,0,0,0,0,12,2,APROVADO
28,0,3,0,8,15,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,4,0,APROVADO
30,0,0,0,4,30,0,1,1,0,0,0,4,5,0,0,0,0,0,0,0,16,6,APROVADO
23,0,0,0,4,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,APROVADO
6,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,APROVADO
12,0,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,APROVADO
36,0,0,0,15,6,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,1,0,APROVADO
22,0,0,0,3,55,0,1,1,0,0,0,4,5,3,0,0,0,0,0,0,20,3,APROVADO
3,0,0,0,2,14,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,12,1,APROVADO
7,0,0,0,4,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,REPROVADO
62,0,0,0,16,48,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,31,5,APROVADO
18,0,0,0,6,12,0,1,1,0,0,0,4,3,1,0,0,0,0,0,0,1,0,APROVADO
40,0,0,0,7,45,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,26,10,APROVADO
16,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,APROVADO
30,0,0,0,9,55,0,1,1,0,0,0,5,1,0,0,0,0,0,0,0,28,5,APROVADO
39,0,0,0,16,23,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,31,5,APROVADO
13,0,0,0,10,34,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,22,4,APROVADO
20,0,0,0,12,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,APROVADO
14,0,0,0,8,19,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,APROVADO
13,0,0,0,15,23,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,29,2,APROVADO
11,0,0,0,13,22,0,1,1,0,0,0,2,3,2,0,0,0,0,0,0,19,4,APROVADO
43,0,0,0,20,27,0,1,1,0,0,0,3,3,1,0,0,0,0,0,0,33,7,APROVADO
9,0,0,0,9,7,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,7,0,APROVADO
29,0,0,0,8,28,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,9,0,APROVADO
31,0,0,0,17,5,0,1,1,0,0,0,2,2,2,0,0,0,0,0,0,2,0,APROVADO
30,0,0,0,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,APROVADO
39,0,0,0,0,43,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,29,9,APROVADO
39,0,0,0,18,28,0,1,1,0,0,0,2,1,3,0,0,0,0,0,0,18,10,APROVADO
13,0,0,0,16,43,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,30,8,APROVADO
