@relation ADM1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
15,0,0,0,31,32,0,1,1,0,0,0,7,6,2,25,2,2,2,4,2,6,3,APROVADO
52,0,0,0,21,59,0,1,2,0,0,0,4,3,2,13,2,2,2,8,2,11,7,APROVADO
26,0,2,0,3,33,0,1,1,0,0,0,2,2,2,13,2,2,2,3,2,5,1,APROVADO
24,0,0,0,2,50,0,1,1,0,0,0,8,2,5,2,0,2,0,8,1,15,6,APROVADO
62,0,0,0,27,102,0,2,3,0,0,0,10,7,1,19,2,2,5,13,2,19,14,APROVADO
35,0,0,0,0,59,0,2,3,0,0,0,7,4,4,14,2,2,2,10,3,2,1,APROVADO
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,6,0,1,0,REPROVADO
11,0,0,0,16,26,0,1,1,0,0,0,2,1,0,19,2,2,3,9,2,6,3,APROVADO
47,0,2,0,28,75,0,1,2,0,0,0,7,3,5,43,2,2,3,11,2,16,6,APROVADO
34,0,0,0,12,63,0,1,1,0,0,0,2,1,7,27,2,2,2,14,3,7,3,APROVADO
55,0,0,0,21,79,0,1,1,0,0,0,5,4,0,16,2,2,2,4,3,15,3,APROVADO
31,0,0,0,34,106,0,0,0,0,0,0,0,0,10,13,2,2,8,7,2,15,5,APROVADO
8,0,0,0,10,17,0,1,1,0,0,0,2,1,0,26,2,2,2,3,2,0,0,APROVADO
88,0,0,0,11,103,0,1,1,1,0,0,4,1,8,14,2,2,2,9,2,28,8,APROVADO
66,0,2,0,4,189,0,1,1,0,0,0,6,6,4,20,2,2,4,8,0,37,8,APROVADO
134,0,0,0,69,131,0,2,1,0,0,1,12,14,5,13,2,2,3,26,2,33,7,APROVADO
19,0,0,0,14,13,0,0,0,0,0,0,0,0,0,13,2,2,3,8,2,0,2,APROVADO
55,0,0,0,38,86,0,1,1,0,0,0,4,16,9,26,2,2,3,7,2,19,11,APROVADO
7,0,1,0,0,30,0,1,1,0,0,0,3,2,0,19,2,2,2,3,2,0,1,APROVADO
64,0,1,0,16,105,0,1,1,0,0,0,10,9,0,13,2,2,2,3,2,9,4,APROVADO
51,0,0,0,8,116,0,1,2,0,0,0,7,4,3,14,2,2,2,8,2,12,2,APROVADO
71,0,0,0,0,137,0,1,1,0,0,0,4,3,8,14,2,2,2,6,2,12,6,APROVADO
18,0,0,0,20,39,0,0,0,0,0,0,1,5,2,43,2,2,2,3,3,11,0,APROVADO
139,0,0,0,2,272,0,1,1,0,0,0,6,9,4,26,2,2,5,49,2,11,5,APROVADO
57,0,2,0,28,82,0,1,4,1,0,0,8,13,14,31,2,2,6,12,3,21,5,APROVADO
60,0,0,0,9,107,0,1,1,0,0,0,9,6,25,13,2,2,2,8,2,9,0,APROVADO
89,0,0,0,26,131,0,1,1,0,0,0,7,6,7,14,2,2,12,9,3,18,13,APROVADO
28,0,3,0,0,21,0,0,0,0,0,0,0,1,2,14,1,1,2,3,1,3,0,REPROVADO
51,0,3,0,16,98,0,1,2,0,0,0,9,8,6,13,2,2,2,8,2,17,8,APROVADO
47,0,0,0,17,52,0,1,1,0,0,0,3,2,4,26,2,2,2,4,1,14,10,APROVADO
73,0,0,0,29,90,0,2,2,0,0,0,9,6,1,13,2,2,2,5,2,2,3,APROVADO
2,0,0,0,0,16,0,0,0,0,0,0,0,1,2,13,2,2,2,3,2,2,0,APROVADO
73,0,1,0,38,142,0,1,1,0,0,0,8,9,14,19,2,2,2,9,2,71,39,APROVADO
75,0,0,0,50,178,0,2,2,0,0,0,2,7,19,17,2,2,10,27,2,80,12,APROVADO
19,0,0,0,17,30,0,1,1,0,0,0,2,3,0,2,2,2,1,3,2,4,5,APROVADO
91,0,0,0,5,206,0,1,1,0,0,0,4,3,3,2,2,2,1,22,1,9,14,APROVADO
68,0,0,0,12,79,0,1,1,0,0,0,8,9,9,2,2,2,1,13,1,9,3,APROVADO
9,0,0,0,3,19,0,1,1,0,0,0,7,5,1,2,2,2,1,6,2,1,3,REPROVADO
8,0,1,0,0,29,0,0,0,0,0,0,0,1,4,0,0,0,0,8,0,3,2,REPROVADO
10,0,0,0,1,39,0,0,0,0,0,0,0,0,0,2,2,2,1,5,2,5,2,APROVADO
53,0,0,0,0,88,0,1,1,0,0,0,3,2,2,2,2,2,1,5,2,11,6,APROVADO
12,0,0,0,0,79,0,1,1,0,0,0,5,3,5,1,1,1,0,10,1,6,13,APROVADO
5,0,0,0,0,12,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,3,1,REPROVADO
17,0,0,0,6,36,0,1,1,0,0,0,3,4,3,4,2,2,1,9,2,3,1,APROVADO
80,0,0,0,15,178,0,1,1,0,0,0,3,3,6,2,2,2,1,8,2,30,10,APROVADO
130,0,0,0,47,145,0,1,1,0,0,0,3,6,6,2,2,2,1,8,1,31,7,APROVADO
47,0,0,0,2,84,0,1,1,0,0,0,3,2,5,2,2,2,1,6,2,8,7,APROVADO
16,0,0,0,0,53,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,9,REPROVADO
22,0,0,0,6,37,0,1,1,0,0,0,5,5,4,2,2,2,1,9,2,6,8,APROVADO
15,0,0,0,8,33,0,0,0,0,0,0,0,0,1,2,2,2,1,5,0,5,3,APROVADO
