@relation AUDADM-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
42,0,7,0,9,62,0,1,1,0,0,0,12,13,1,10,1,1,0,5,1,3,4,APROVADO
22,0,0,0,0,17,0,0,0,0,0,0,0,0,0,28,1,1,0,3,1,0,8,APROVADO
17,0,0,0,9,15,0,1,1,0,0,0,4,4,0,20,1,1,0,4,2,1,8,APROVADO
61,0,0,0,2,64,0,1,1,0,0,0,3,3,3,20,1,1,0,5,2,5,22,APROVADO
24,0,0,0,2,31,0,0,0,0,0,0,0,3,0,22,1,1,0,3,1,1,15,APROVADO
57,0,0,0,2,51,0,1,1,0,0,0,3,1,0,10,1,1,0,2,1,2,8,APROVADO
102,0,0,0,10,93,0,1,1,0,0,0,3,3,1,13,1,1,0,13,1,5,30,APROVADO
42,0,0,0,2,67,0,0,0,0,0,0,0,2,0,10,1,1,0,10,1,1,32,APROVADO
32,0,1,0,0,45,0,1,1,0,0,0,0,2,0,10,1,1,0,5,1,1,5,APROVADO
5,0,0,0,1,10,0,1,2,0,0,0,6,3,1,0,0,0,0,0,0,0,9,APROVADO
22,0,1,0,0,16,0,1,1,0,0,0,3,4,1,24,1,1,0,5,1,0,5,APROVADO
42,0,0,0,5,19,0,1,1,0,0,0,2,1,0,14,1,1,0,4,2,0,10,APROVADO
4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
