@relation CONTA3-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
16,0,0,0,3,52,0,1,1,0,0,0,5,9,26,0,0,0,0,0,0,0,0,APROVADO
5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,APROVADO
41,0,0,0,44,18,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,14,2,APROVADO
11,0,0,0,9,44,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,APROVADO
30,0,0,0,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
5,0,0,0,45,6,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,APROVADO
38,0,0,0,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,APROVADO
46,0,0,0,28,48,0,1,1,0,0,0,3,2,5,0,0,0,0,0,0,2,0,APROVADO
13,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,APROVADO
26,0,0,0,12,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,APROVADO
4,0,0,0,37,7,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,2,APROVADO
3,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,APROVADO
14,0,0,0,32,11,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,APROVADO
4,0,0,0,21,6,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,APROVADO
74,0,0,0,46,50,0,1,2,0,0,0,4,2,5,0,0,0,0,0,0,6,2,APROVADO
8,0,0,0,23,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,APROVADO
66,0,0,0,21,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,APROVADO
5,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,REPROVADO
26,0,0,0,11,35,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,1,1,APROVADO
48,0,0,0,32,48,0,1,1,0,0,0,3,4,11,0,0,0,0,0,0,6,0,APROVADO
29,0,0,0,26,15,0,1,2,0,0,0,5,4,0,0,0,0,0,0,0,0,0,APROVADO
31,0,0,0,44,31,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,6,8,APROVADO
22,0,0,0,3,13,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,APROVADO
