@relation DERPEN-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
66,0,0,0,12,62,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,5,0,APROVADO
6,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,APROVADO
7,0,0,0,3,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,APROVADO
36,0,0,0,5,39,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
55,0,0,0,0,137,0,2,1,1,0,0,3,12,3,0,0,0,0,0,0,16,1,APROVADO
55,0,0,0,31,53,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,APROVADO
93,0,1,0,32,76,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,APROVADO
37,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
61,0,0,0,14,79,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,APROVADO
35,0,0,0,14,27,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,APROVADO
97,0,0,0,6,194,0,0,1,0,0,0,0,5,17,0,0,0,0,0,0,13,0,APROVADO
59,0,0,0,7,49,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,3,1,APROVADO
36,0,0,0,4,18,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,APROVADO
75,0,0,0,36,101,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,22,1,APROVADO
