@relation DERPER-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
69,0,5,0,15,54,1,1,1,0,0,0,0,6,3,0,0,0,0,0,0,2,1,APROVADO
32,0,0,0,0,25,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,2,APROVADO
56,0,0,0,2,91,0,1,1,0,0,0,0,3,26,0,0,0,0,0,0,2,0,APROVADO
45,0,0,0,4,47,0,1,1,0,0,0,0,7,14,0,0,0,0,0,0,1,1,APROVADO
152,0,0,0,3,148,4,1,1,0,0,0,0,10,4,0,0,0,0,0,0,3,5,APROVADO
18,0,0,0,2,11,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,APROVADO
11,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
92,0,0,0,14,103,0,1,1,0,0,0,0,7,1,0,0,0,0,0,0,2,1,APROVADO
31,0,1,0,13,25,1,1,1,0,0,0,0,4,1,0,0,0,0,0,0,4,3,APROVADO
57,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
9,0,0,0,0,5,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,APROVADO
240,0,0,0,3,342,2,1,1,1,0,0,0,7,2,0,0,0,0,0,0,11,0,APROVADO
65,0,0,0,6,99,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,APROVADO
34,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
48,0,0,0,0,44,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,3,APROVADO
0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,APROVADO
11,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
101,0,0,0,2,141,1,1,1,0,0,0,0,2,47,0,0,0,0,0,0,0,1,APROVADO
32,0,0,0,14,7,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
88,0,7,0,3,67,2,1,1,0,0,0,0,6,0,0,0,0,0,0,0,10,3,APROVADO
51,0,0,0,6,63,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,APROVADO
92,0,0,0,0,119,0,1,1,0,0,0,0,4,2,0,0,0,0,0,0,2,0,APROVADO
13,0,0,0,2,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APROVADO
65,0,1,0,22,42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,APROVADO
76,0,0,0,8,72,1,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,1,APROVADO
77,0,0,0,6,98,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,2,APROVADO
23,0,5,0,0,24,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,APROVADO
33,0,0,0,7,34,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,APROVADO
84,0,0,0,27,55,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,2,2,APROVADO
117,0,0,0,11,158,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,11,APROVADO
5,0,0,0,3,8,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,REPROVADO
20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
53,0,0,0,0,39,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,5,4,APROVADO
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
55,0,0,0,10,25,1,2,2,0,0,0,0,7,7,0,0,0,0,0,0,2,4,APROVADO
32,0,0,0,10,30,1,1,1,0,0,0,0,4,5,0,0,0,0,0,0,1,0,APROVADO
177,0,3,0,1,190,0,1,1,0,0,0,0,6,2,0,0,0,0,0,0,4,4,APROVADO
175,0,2,0,53,65,3,1,1,0,0,0,12,12,6,0,0,0,0,0,0,3,3,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
61,0,0,0,6,32,0,1,1,0,0,0,0,16,0,0,0,0,0,0,0,8,0,APROVADO
34,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,APROVADO
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
96,0,0,0,29,118,1,0,0,0,0,0,0,4,18,0,0,0,0,0,0,8,0,APROVADO
63,0,0,0,2,73,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,2,0,APROVADO
371,0,1,0,124,301,2,2,2,0,0,0,0,26,14,0,0,0,0,0,0,8,6,APROVADO
18,0,0,0,0,31,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,7,1,REPROVADO
63,0,0,0,3,77,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,APROVADO
63,0,0,0,11,19,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,APROVADO
61,0,0,0,5,23,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,APROVADO
38,0,1,0,3,42,5,1,1,0,0,0,0,7,7,0,0,0,0,0,0,6,9,APROVADO
96,0,0,0,48,122,0,1,1,0,0,0,0,12,21,0,0,0,0,0,0,2,0,APROVADO
83,0,0,0,7,85,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,APROVADO
154,0,0,0,46,123,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,3,5,APROVADO
9,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APROVADO
100,0,0,0,2,97,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
58,0,0,0,8,44,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,3,0,APROVADO
74,0,0,0,24,42,2,1,1,0,0,0,0,4,10,0,0,0,0,0,0,2,0,APROVADO
47,0,0,0,31,29,3,1,1,0,0,0,0,8,0,0,0,0,0,0,0,6,8,APROVADO
130,0,0,0,4,159,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,1,1,APROVADO
0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,REPROVADO
44,0,0,0,15,33,1,1,1,0,0,0,0,3,4,0,0,0,0,0,0,1,0,APROVADO
61,0,0,0,6,60,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,APROVADO
67,0,0,0,13,32,2,1,1,0,0,0,0,22,6,0,0,0,0,0,0,0,0,APROVADO
