@relation ININSI-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
109,0,0,0,33,114,2,1,1,0,0,0,12,5,7,0,0,0,0,12,0,7,6,APROVADO
142,0,16,0,39,91,2,1,1,0,0,0,4,1,16,0,0,0,0,17,0,11,4,APROVADO
101,0,0,0,42,54,0,0,0,0,0,0,0,2,9,0,0,0,0,10,0,0,6,APROVADO
1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,REPROVADO
153,0,0,0,51,181,2,1,1,0,0,0,10,12,68,0,0,0,0,20,0,35,17,APROVADO
62,0,0,0,1,56,1,1,1,0,0,0,3,2,4,0,0,0,0,7,0,4,0,APROVADO
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
31,0,0,0,21,52,2,1,1,0,0,0,5,9,9,0,0,0,0,4,0,19,6,REPROVADO
60,0,0,0,18,80,0,2,1,0,0,0,3,7,20,0,0,0,0,5,0,5,3,APROVADO
112,0,2,0,45,115,4,1,1,0,0,0,11,7,23,0,0,0,0,13,0,10,5,APROVADO
60,0,0,0,12,52,0,1,1,1,0,0,4,11,9,0,0,0,0,1,0,7,10,APROVADO
90,0,0,0,23,119,5,3,1,0,0,0,10,14,20,0,0,0,0,7,0,12,14,APROVADO
72,0,0,0,11,123,1,4,5,2,0,0,19,56,9,0,0,0,0,8,0,15,11,APROVADO
156,0,12,0,77,256,7,2,2,5,0,0,31,57,28,0,0,0,0,18,0,39,27,APROVADO
50,0,6,0,5,120,2,0,0,0,0,0,3,16,28,0,0,0,0,10,0,21,10,REPROVADO
64,0,0,0,31,45,0,2,2,0,0,0,8,6,4,0,0,0,0,7,0,10,4,APROVADO
60,0,0,0,17,134,0,0,0,0,0,0,7,6,38,0,0,0,0,6,0,24,16,REPROVADO
61,0,0,0,36,63,1,1,1,0,0,0,3,17,18,0,0,0,0,10,0,15,5,REPROVADO
2,0,0,0,0,44,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,15,6,REPROVADO
26,0,0,0,29,19,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,1,4,APROVADO
115,0,1,0,36,90,1,0,0,0,0,0,0,0,19,0,0,0,0,7,0,6,6,APROVADO
112,0,1,0,35,97,0,2,2,0,0,0,12,4,15,0,0,0,0,5,0,12,8,APROVADO
81,0,0,0,23,64,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,1,2,REPROVADO
13,0,0,0,7,25,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,3,5,REPROVADO
125,0,12,0,42,281,8,6,3,1,0,3,23,45,32,0,0,0,0,28,0,112,28,APROVADO
127,0,0,0,50,253,4,1,1,0,0,0,9,4,79,0,0,0,0,15,0,30,38,APROVADO
5,0,2,0,0,17,0,1,1,0,0,0,2,2,3,0,0,0,0,1,0,1,1,REPROVADO
63,0,2,0,13,127,1,1,1,0,0,0,6,7,25,0,0,0,0,5,0,10,8,APROVADO
81,0,1,0,21,117,1,0,0,0,0,0,2,2,23,0,0,0,0,15,0,11,2,REPROVADO
89,0,0,0,33,62,0,1,1,0,0,0,8,11,21,0,0,0,0,16,0,12,4,APROVADO
90,0,8,0,27,140,5,3,2,0,1,0,10,16,31,0,0,0,0,8,0,37,20,APROVADO
74,0,0,0,25,63,1,0,0,0,0,0,1,2,20,0,0,0,0,7,0,5,3,APROVADO
73,0,0,0,28,89,0,0,0,0,0,0,1,1,12,0,0,0,0,8,0,7,7,APROVADO
34,0,0,0,15,34,1,0,0,0,0,0,2,1,4,0,0,0,0,8,0,8,2,APROVADO
71,0,0,0,13,120,6,1,1,0,0,0,8,9,35,107,2,2,2,14,2,32,21,APROVADO
20,0,2,0,2,53,1,1,1,0,0,0,5,5,8,0,0,0,0,0,0,15,4,REPROVADO
67,0,1,0,46,157,5,1,1,0,0,0,14,3,41,112,3,3,4,8,6,42,16,APROVADO
83,0,1,0,36,149,8,1,1,0,0,0,7,16,26,69,2,2,4,14,3,31,17,REPROVADO
77,0,2,0,40,178,5,1,1,0,0,0,10,8,18,0,0,0,0,9,0,28,17,REPROVADO
84,0,0,0,35,105,2,1,1,0,0,0,8,16,32,34,2,2,2,10,2,33,6,REPROVADO
51,0,1,0,83,138,3,1,1,0,0,0,17,14,17,73,2,2,2,5,2,28,26,APROVADO
66,0,0,0,49,223,6,3,1,0,0,2,6,13,37,111,2,2,2,7,2,53,28,APROVADO
71,0,4,0,50,188,11,1,1,0,0,0,12,12,41,108,2,2,2,7,2,39,21,APROVADO
29,0,0,0,21,125,4,1,1,0,0,0,11,21,10,40,2,2,2,6,2,50,5,REPROVADO
