@relation INSOFT1-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
71,0,0,0,0,40,0,8,10,0,0,0,14,32,1,2,1,1,0,12,1,7,0,APROVADO
189,0,12,0,0,109,0,7,7,0,0,0,18,47,2,9,2,2,0,22,3,34,10,APROVADO
126,0,3,0,8,97,0,7,9,0,0,0,48,35,5,2,1,1,0,16,1,19,0,APROVADO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
0,0,0,0,0,6,0,3,3,0,0,0,3,7,0,0,0,0,0,1,0,0,0,REPROVADO
77,0,0,0,6,71,0,7,7,0,0,0,16,60,0,2,1,1,0,4,1,13,0,APROVADO
116,0,0,0,0,121,0,8,10,0,0,0,23,64,1,4,2,2,3,13,2,22,1,APROVADO
93,0,15,0,6,33,0,3,3,0,0,0,4,31,0,5,0,2,0,21,0,5,1,REPROVADO
189,0,0,0,24,56,0,7,10,0,0,0,27,77,2,14,2,2,1,32,2,3,2,APROVADO
23,0,2,0,0,63,0,1,1,0,0,0,6,20,2,0,0,0,0,1,0,17,3,REPROVADO
0,0,0,0,0,4,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,APROVADO
14,0,0,0,0,37,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,21,4,REPROVADO
136,0,0,0,26,185,0,8,9,0,0,0,39,82,1,4,1,1,1,10,1,30,3,APROVADO
77,0,0,0,6,88,0,7,8,0,0,0,15,59,4,2,1,1,0,5,1,26,5,APROVADO
127,0,1,0,40,52,0,7,7,0,0,0,16,80,1,2,1,1,1,9,1,23,1,APROVADO
246,0,0,0,42,365,0,6,8,0,0,0,16,81,7,4,1,1,0,17,1,54,5,APROVADO
52,0,0,0,3,98,0,6,7,0,0,0,23,43,0,4,1,2,0,7,1,28,3,APROVADO
97,0,0,0,12,142,0,8,9,0,0,0,53,77,2,4,2,2,0,10,2,25,4,APROVADO
