@relation SOCJUR-weka.filters.unsupervised.attribute.Remove-R1

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute at4 numeric
@attribute at5 numeric
@attribute at6 numeric
@attribute at7 numeric
@attribute at8 numeric
@attribute at9 numeric
@attribute at10 numeric
@attribute at11 numeric
@attribute at12 numeric
@attribute at13 numeric
@attribute at14 numeric
@attribute at15 numeric
@attribute at16 numeric
@attribute at17 numeric
@attribute at18 numeric
@attribute at19 numeric
@attribute at20 numeric
@attribute at21 numeric
@attribute at22 numeric
@attribute at23 numeric
@attribute class {APROVADO,REPROVADO}

@data
60,0,0,0,3,108,2,0,1,0,0,0,0,5,5,0,0,0,0,0,0,23,0,APROVADO
43,0,0,0,1,32,0,0,1,0,0,0,1,6,1,0,0,0,0,0,0,24,0,REPROVADO
88,0,0,0,0,197,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,41,0,APROVADO
68,0,0,0,21,46,0,0,0,0,0,0,2,5,10,1,1,1,4,2,0,4,0,REPROVADO
125,0,1,0,15,251,2,0,1,0,0,0,16,19,4,0,0,0,0,1,0,45,1,APROVADO
74,0,0,0,25,70,3,0,2,0,0,0,3,6,8,0,0,0,0,0,0,16,2,APROVADO
17,0,0,0,2,54,1,0,2,0,0,0,3,4,2,0,0,0,0,0,0,7,0,APROVADO
154,0,0,0,47,166,0,0,2,0,0,0,3,4,12,0,0,0,0,0,0,24,0,APROVADO
33,0,0,0,5,76,0,0,1,0,0,0,0,5,6,0,0,0,0,1,0,4,1,REPROVADO
4,0,0,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,REPROVADO
164,0,3,0,127,216,2,0,2,0,0,0,3,8,33,0,0,0,0,2,0,54,2,APROVADO
50,0,0,0,67,20,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,7,0,APROVADO
67,0,0,0,0,49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,APROVADO
13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REPROVADO
11,0,0,0,4,22,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,APROVADO
116,0,0,0,47,87,2,0,1,0,0,0,5,11,0,0,0,0,0,0,0,9,2,APROVADO
69,0,0,0,0,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,APROVADO
86,0,0,0,2,71,0,0,2,0,0,0,0,4,26,0,0,0,0,0,0,71,0,APROVADO
84,0,0,0,14,76,1,0,0,0,0,0,5,8,9,0,0,0,0,0,0,27,1,APROVADO
64,0,0,0,0,57,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,9,1,APROVADO
38,0,3,0,10,80,2,0,0,0,0,0,0,6,3,0,0,0,0,0,0,32,1,APROVADO
94,0,0,0,7,100,1,0,2,0,0,0,6,11,11,0,0,0,0,0,0,28,1,APROVADO
57,0,0,0,44,23,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,APROVADO
49,0,0,0,1,80,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,50,0,APROVADO
118,0,1,0,63,102,0,0,1,0,0,0,9,9,16,0,0,0,0,0,0,43,0,APROVADO
87,0,0,0,16,116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,APROVADO
50,0,0,0,40,58,0,0,1,0,0,0,2,1,7,0,0,0,0,0,0,36,0,APROVADO
67,0,0,0,17,102,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,APROVADO
41,0,2,0,7,114,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,2,APROVADO
21,0,2,0,17,49,0,0,1,0,0,0,2,1,11,0,0,0,0,0,0,13,0,APROVADO
75,0,0,0,44,83,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,APROVADO
55,0,0,0,10,29,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,APROVADO
65,0,1,0,16,88,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,59,0,APROVADO
55,0,0,0,33,104,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,9,1,APROVADO
