@relation exp_3_kmeans_5_7_g1

@attribute temp_media numeric
@attribute 2006 numeric
@attribute 2007 numeric
@attribute 2008 numeric
@attribute 2009 numeric
@attribute 2010 numeric
@attribute 2011 numeric
@attribute 2012 numeric
@attribute 2013 numeric
@attribute 2014 numeric
@attribute 2015 numeric
@attribute 2016 numeric
@attribute 2017 numeric
@attribute 2018 numeric
@attribute 2019 numeric
@attribute sis_cost_Pertence {0,1}
@attribute sis_cost_n_pertence {0,1}
@attribute sis_cost_pertence {0,1}
@attribute bioma_amazonia {0,1}
@attribute bioma_amazonia_cerrado {0,1}
@attribute bioma_amazonia_cerrado_pantanal {0,1}
@attribute bioma_amazonia_pantanal {0,1}
@attribute bioma_caatinga {0,1}
@attribute bioma_caatinga_cerrado {0,1}
@attribute bioma_caatinga_cerrado_mata_atlantica {0,1}
@attribute bioma_caatinga_mata_atlantica {0,1}
@attribute bioma_cerrado {0,1}
@attribute bioma_cerrado_mata_atlantica {0,1}
@attribute bioma_cerrado_pantanal {0,1}
@attribute bioma_mata_atlantica {0,1}
@attribute bioma_mata_atlantica_pampa {0,1}
@attribute bioma_pampa {0,1}
@attribute bioma_pantanal {0,1}
@attribute fx_area_grande {0,1}
@attribute fx_area_media {0,1}
@attribute fx_area_muito_pequena {0,1}
@attribute fx_area_pequena {0,1}
@attribute fx_pop_alto {0,1}
@attribute fx_pop_baixa {0,1}
@attribute fx_pop_media {0,1}
@attribute fx_pop_muito_alta {0,1}
@attribute fx_pop_muito_baixa {0,1}
@attribute categoria_2020 {baixo,medio,alto}

@data
0.411765,0.000017,0.000016,0.000016,0.000018,0.000017,0.000017,0.000017,0.000019,0.00002,0.000021,0.000022,0.000021,0.000023,0.000021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,baixo
0.352941,0.000131,0.000119,0.00012,0.000124,0.000129,0.000125,0.000131,0.000145,0.000157,0.000164,0.000178,0.000176,0.0002,0.00017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,medio
0.411765,0.000003,0.000004,0.000003,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000005,0.000005,0.000005,0.000006,0.000006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,baixo
0.352941,0.000814,0.000793,0.000766,0.000781,0.000804,0.000764,0.000757,0.000834,0.000916,0.000928,0.001013,0.000974,0.001004,0.000899,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,medio
0.352941,0.000209,0.000185,0.000192,0.000193,0.000207,0.000195,0.000205,0.000223,0.00024,0.000247,0.000262,0.000255,0.000265,0.000256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,medio
0,0.004271,0.00418,0.003988,0.004095,0.004116,0.004179,0.004277,0.004345,0.005156,0.006118,0.006602,0.00713,0.007703,0.008235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.000811,0.000825,0.00081,0.000824,0.000851,0.000854,0.000843,0.000921,0.001039,0.001182,0.001232,0.001291,0.001359,0.001421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.006171,0.006253,0.006047,0.006093,0.006214,0.006094,0.006098,0.006568,0.007447,0.00851,0.008898,0.009355,0.009874,0.010344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.000003,0.000003,0.000003,0.000003,0.000003,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,baixo
0,0.001462,0.001465,0.001426,0.001442,0.001476,0.001472,0.001531,0.001636,0.001886,0.002185,0.002311,0.002455,0.002615,0.002761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.00062,0.000607,0.000611,0.000604,0.000607,0.000581,0.000602,0.000591,0.00069,0.000808,0.000863,0.000923,0.00099,0.001051,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.004527,0.004547,0.004373,0.004403,0.004495,0.004443,0.004571,0.004748,0.005564,0.006536,0.006997,0.007506,0.008062,0.008577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.002841,0.002844,0.002754,0.002816,0.002909,0.002907,0.00298,0.00321,0.003719,0.004329,0.004598,0.0049,0.005234,0.005541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.000923,0.00096,0.000963,0.001013,0.001074,0.001098,0.001135,0.001256,0.00141,0.001598,0.001658,0.001732,0.001817,0.001894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
